MOF,Ground_State_Energy
str_m2_o10_o16_pcu_sym.164.cif,-1.4422205101844439
str_m2_o10_o16_pcu_sym.167.cif,-1.4422205101854062
str_m2_o10_o16_pcu_sym.168.cif,-1.4422205101855798
str_m2_o10_o16_pcu_sym.170.cif,-1.442220510182385
str_m2_o10_o16_pcu_sym.177.cif,-1.4422205101855632
str_m2_o10_o16_pcu_sym.178.cif,-1.4422205100722645
str_m2_o10_o16_pcu_sym.180.cif,-1.442220510174076
str_m2_o10_o16_pcu_sym.183.cif,-1.4422205101768322
str_m2_o10_o16_pcu_sym.19.cif,-1.4422205101102592
str_m2_o10_o16_pcu_sym.192.cif,-1.442220509875809
str_m2_o10_o16_pcu_sym.2.cif,-1.442220510182445
str_m2_o10_o16_pcu_sym.21.cif,-1.4422205101451304
str_m2_o10_o16_pcu_sym.23.cif,-1.4422205101855354
str_m2_o10_o16_pcu_sym.25.cif,-1.4422205101809014
str_m2_o10_o16_pcu_sym.26.cif,-1.4422205101682666
str_m2_o10_o16_pcu_sym.27.cif,-1.4422205101855692
str_m2_o10_o16_pcu_sym.30.cif,-1.4422205101855858
str_m2_o10_o16_pcu_sym.34.cif,-1.4422205101694718
str_m2_o10_o16_pcu_sym.38.cif,-1.4422205101855572
str_m2_o10_o16_pcu_sym.41.cif,-1.442220510185595
str_m2_o10_o16_pcu_sym.5.cif,-1.4422205101855956
str_m2_o10_o16_pcu_sym.50.cif,-1.4422205101851744
str_m2_o10_o16_pcu_sym.55.cif,-1.4422205101803836
str_m2_o10_o16_pcu_sym.63.cif,-1.4422205101729633
str_m2_o10_o16_pcu_sym.64.cif,-1.4422205101799674
str_m2_o10_o16_pcu_sym.65.cif,-1.442220510185594
str_m2_o10_o16_pcu_sym.67.cif,-1.442220510154482
str_m2_o10_o16_pcu_sym.68.cif,-1.4422205100089294
str_m2_o10_o16_pcu_sym.7.cif,-1.4422205101855912
str_m2_o10_o16_pcu_sym.70.cif,-1.442220510182332
str_m2_o10_o16_pcu_sym.71.cif,-1.4422205101737418
str_m2_o10_o16_pcu_sym.8.cif,-1.4422205101033423
str_m2_o10_o16_pcu_sym.88.cif,-1.4422205101855883
str_m2_o10_o16_pcu_sym.92.cif,-1.4422205101855767
str_m2_o10_o16_pcu_sym.94.cif,-1.442220510148899
str_m2_o10_o17_pcu_sym.1.cif,-1.4422205101855636
str_m2_o10_o17_pcu_sym.101.cif,-1.4422205101852548
str_m2_o10_o17_pcu_sym.105.cif,-1.4422205101140766
str_m2_o10_o17_pcu_sym.106.cif,-1.4422205101841779
str_m2_o10_o17_pcu_sym.11.cif,-1.4422205101808812
str_m2_o10_o17_pcu_sym.111.cif,-1.442220510179304
str_m2_o10_o17_pcu_sym.114.cif,-1.4422205101808463
str_m2_o10_o17_pcu_sym.115.cif,-1.4422205101778651
str_m2_o10_o17_pcu_sym.119.cif,-1.4422205101830592
str_m2_o10_o17_pcu_sym.12.cif,-1.4422205101814607
str_m2_o10_o17_pcu_sym.123.cif,-1.4422205101841838
str_m2_o10_o17_pcu_sym.124.cif,-1.4422205098904541
str_m2_o10_o17_pcu_sym.127.cif,-1.4422205101841956
str_m2_o10_o17_pcu_sym.129.cif,-1.4422205101852787
str_m2_o10_o17_pcu_sym.131.cif,-1.4422205101855907
str_m2_o10_o17_pcu_sym.137.cif,-1.4422205101854004
str_m2_o10_o17_pcu_sym.138.cif,-1.442220510175867
str_m2_o10_o17_pcu_sym.140.cif,-1.4422205101781485
str_m2_o10_o17_pcu_sym.142.cif,-1.4422205101825445
str_m2_o10_o17_pcu_sym.143.cif,-1.4422205101855017
str_m2_o10_o17_pcu_sym.145.cif,-1.4422205101784373
str_m2_o10_o17_pcu_sym.151.cif,-1.4422205101851167
str_m2_o10_o17_pcu_sym.153.cif,-1.4422205101809458
str_m2_o10_o17_pcu_sym.154.cif,-1.4422205101845944
str_m2_o10_o17_pcu_sym.155.cif,-1.4422205101855812
str_m2_o10_o17_pcu_sym.157.cif,-1.4422205101808596
str_m2_o10_o17_pcu_sym.158.cif,-1.4422205101399346
str_m2_o10_o17_pcu_sym.159.cif,-1.4422205101423473
str_m2_o10_o17_pcu_sym.162.cif,-1.4422205101845043
str_m2_o10_o17_pcu_sym.163.cif,-1.442220510170031
str_m2_o10_o17_pcu_sym.164.cif,-1.4422205101315593
str_m2_o10_o17_pcu_sym.165.cif,-1.4422205101777212
str_m2_o10_o17_pcu_sym.166.cif,-1.44222051018553
str_m2_o10_o17_pcu_sym.167.cif,-1.4422205101740857
str_m2_o10_o17_pcu_sym.169.cif,-1.44222051018547
str_m2_o10_o17_pcu_sym.17.cif,-1.44222051018548
str_m2_o10_o17_pcu_sym.174.cif,-1.4422205101832581
str_m2_o10_o17_pcu_sym.175.cif,-1.442220510174662
str_m2_o10_o17_pcu_sym.177.cif,-1.4422205101855334
str_m2_o10_o17_pcu_sym.181.cif,-1.4422205101654861
str_m2_o10_o17_pcu_sym.185.cif,-1.4422205101002612
str_m2_o10_o17_pcu_sym.188.cif,-1.4422205101811931
str_m2_o10_o17_pcu_sym.19.cif,-1.4422205101852392
str_m2_o10_o17_pcu_sym.192.cif,-1.4422205101855412
str_m2_o10_o17_pcu_sym.195.cif,-1.4422205101780832
str_m2_o10_o17_pcu_sym.196.cif,-1.4422205100642522
str_m2_o10_o17_pcu_sym.197.cif,-1.4422205101812158
str_m2_o10_o17_pcu_sym.2.cif,-1.4422205101710883
str_m2_o10_o17_pcu_sym.20.cif,-1.4422205100113634
str_m2_o10_o17_pcu_sym.203.cif,-1.4422205101855794
str_m2_o10_o17_pcu_sym.206.cif,-1.4422205101855918
str_m2_o10_o17_pcu_sym.207.cif,-1.442220510185579
str_m2_o10_o17_pcu_sym.208.cif,-1.4422205101855718
str_m2_o10_o17_pcu_sym.21.cif,-1.4422205101848313
str_m2_o10_o17_pcu_sym.210.cif,-1.442220510180554
str_m2_o10_o17_pcu_sym.211.cif,-1.4422205101804466
str_m2_o10_o17_pcu_sym.212.cif,-1.4422205100836833
str_m2_o10_o17_pcu_sym.213.cif,-1.4422205101501469
str_m2_o10_o17_pcu_sym.216.cif,-1.442220510183446
str_m2_o10_o17_pcu_sym.217.cif,-1.4422205100920813
str_m2_o10_o17_pcu_sym.219.cif,-1.4422205101791332
str_m2_o10_o17_pcu_sym.224.cif,-1.442220510178289
str_m2_o10_o17_pcu_sym.225.cif,-1.4422205101574415
str_m2_o10_o17_pcu_sym.228.cif,-1.44222051014256
str_m2_o10_o17_pcu_sym.23.cif,-1.4422205101832524
str_m2_o10_o17_pcu_sym.230.cif,-1.4422205101853285
str_m2_o10_o17_pcu_sym.232.cif,-1.4422205101852614
str_m2_o10_o17_pcu_sym.233.cif,-1.442220510178224
str_m2_o10_o17_pcu_sym.27.cif,-1.4422205101501506
str_m2_o10_o17_pcu_sym.28.cif,-1.4422205101825942
str_m2_o10_o17_pcu_sym.34.cif,-1.4422205101839352
str_m2_o10_o17_pcu_sym.35.cif,-1.4422205101821455
str_m2_o10_o17_pcu_sym.4.cif,-1.4422205101855228
str_m2_o10_o17_pcu_sym.43.cif,-1.4422205101699428
str_m2_o10_o17_pcu_sym.46.cif,-1.4422205101775525
str_m2_o10_o17_pcu_sym.47.cif,-1.4422205100426828
str_m2_o10_o17_pcu_sym.48.cif,-1.4422205101854875
str_m2_o10_o17_pcu_sym.54.cif,-1.442220510181131
str_m2_o10_o17_pcu_sym.55.cif,-1.4422205101754357
str_m2_o10_o17_pcu_sym.59.cif,-1.4422205101846854
str_m2_o10_o17_pcu_sym.6.cif,-1.4422205101852283
str_m2_o10_o17_pcu_sym.60.cif,-1.4422205101624574
str_m2_o10_o17_pcu_sym.61.cif,-1.4422205101812553
str_m2_o10_o17_pcu_sym.64.cif,-1.4422205099456935
str_m2_o10_o17_pcu_sym.65.cif,-1.4422205101327492
str_m2_o10_o17_pcu_sym.70.cif,-1.4422205101456038
str_m2_o10_o17_pcu_sym.71.cif,-1.4422205101175223
str_m2_o10_o17_pcu_sym.72.cif,-1.4422205101853152
str_m2_o10_o17_pcu_sym.75.cif,-1.4422205101790155
str_m2_o10_o17_pcu_sym.8.cif,-1.4422205100638796
str_m2_o10_o17_pcu_sym.81.cif,-1.442220510185591
str_m2_o10_o17_pcu_sym.83.cif,-1.4422205100245433
str_m2_o10_o17_pcu_sym.84.cif,-1.4422205101630539
str_m2_o10_o17_pcu_sym.85.cif,-1.4422205101853955
str_m2_o10_o17_pcu_sym.87.cif,-1.4422205101248067
str_m2_o10_o17_pcu_sym.88.cif,-1.4422205101855465
str_m2_o10_o17_pcu_sym.89.cif,-1.4422205101712744
str_m2_o10_o17_pcu_sym.90.cif,-1.4422205101830468
str_m2_o10_o17_pcu_sym.93.cif,-1.4422205101855021
str_m2_o10_o17_pcu_sym.94.cif,-1.4422205101695473
str_m2_o10_o17_pcu_sym.97.cif,-1.442220510185416
str_m2_o10_o18_pcu_sym.1.cif,-1.4422205101852237
str_m2_o10_o18_pcu_sym.10.cif,-1.4422205101818983
str_m2_o10_o18_pcu_sym.103.cif,-1.4422205101855705
str_m2_o10_o18_pcu_sym.109.cif,-1.4422205101840204
str_m2_o10_o18_pcu_sym.11.cif,-1.44222051017175
str_m2_o10_o18_pcu_sym.110.cif,-1.442220510184681
str_m2_o10_o18_pcu_sym.112.cif,-1.4422205101431664
str_m2_o10_o18_pcu_sym.116.cif,-1.4422205101844179
str_m2_o10_o18_pcu_sym.119.cif,-1.4422205101844718
str_m2_o10_o18_pcu_sym.120.cif,-1.4422205101610626
str_m2_o10_o18_pcu_sym.121.cif,-1.4422205101855785
str_m2_o10_o18_pcu_sym.123.cif,-1.4422205099177212
str_m2_o10_o18_pcu_sym.124.cif,-1.4422205101855134
str_m2_o10_o18_pcu_sym.126.cif,-1.442220510156956
str_m2_o10_o18_pcu_sym.13.cif,-1.4422205101811998
str_m2_o10_o18_pcu_sym.130.cif,-1.442220510184947
str_m2_o10_o18_pcu_sym.131.cif,-1.4422205101855652
str_m2_o10_o18_pcu_sym.134.cif,-1.4422205101482897
str_m2_o10_o18_pcu_sym.135.cif,-1.4422205100402086
str_m2_o10_o18_pcu_sym.136.cif,-1.4422205101763634
str_m2_o10_o18_pcu_sym.137.cif,-1.4422205101701122
str_m2_o10_o18_pcu_sym.138.cif,-1.4422205101592942
str_m2_o10_o18_pcu_sym.14.cif,-1.4422205101842467
str_m2_o10_o18_pcu_sym.141.cif,-1.442220510180021
str_m2_o10_o18_pcu_sym.143.cif,-1.4422205101855767
str_m2_o10_o18_pcu_sym.145.cif,-1.442220510111798
str_m2_o10_o18_pcu_sym.147.cif,-1.4422205101855934
str_m2_o10_o18_pcu_sym.149.cif,-1.4422205101848586
str_m2_o10_o18_pcu_sym.151.cif,-1.442220510185317
str_m2_o10_o18_pcu_sym.152.cif,-1.442220510122123
str_m2_o10_o18_pcu_sym.153.cif,-1.4422205100776988
str_m2_o10_o18_pcu_sym.154.cif,-1.4422205101824228
str_m2_o10_o18_pcu_sym.157.cif,-1.4422205101847339
str_m2_o10_o18_pcu_sym.159.cif,-1.4422205100583998
str_m2_o10_o18_pcu_sym.161.cif,-1.442220510185291
str_m2_o10_o18_pcu_sym.162.cif,-1.4422205101832983
str_m2_o10_o18_pcu_sym.164.cif,-1.4422205101772623
str_m2_o10_o18_pcu_sym.166.cif,-1.442220510144915
str_m2_o10_o18_pcu_sym.167.cif,-1.4422205101855194
str_m2_o10_o18_pcu_sym.168.cif,-1.4422205101127776
